Codigo,Descricao,StatusConserto
2010,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 01,Disponivel
2010,COLOCADOR DE ROLAMENTO VOLVO,Disponivel
3,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 03,Disponivel
4,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 04,Disponivel
5,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 05,Disponivel
6,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 06,Disponivel
7,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 07,Disponivel
8,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 08,Disponivel
9,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 09,Disponivel
10,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 10,Disponivel
11,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 11,Disponivel
12,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 12,Disponivel
13,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 13,Disponivel
14,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 14,Disponivel
15,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº 15,Disponivel
16,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 16,Disponivel
17,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 17,Disponivel
18,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 18,Disponivel
19,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 19,Disponivel
20,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 20,Disponivel
21,CAIXA FERRAMENTAS AUX LATOEIRO ( FLN ) Nº 21,Disponivel
22,CAIXA FERRAMENTAS SERVICO PREDIAL ( FLN ) Nº 22,Disponivel
23,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 23,Disponivel
24,CAIXA FERRAMENTAS AUX LATOEIRO ( FLN ) Nº 24,Disponivel
25,CAIXA FERRAMENTAS BORRACHEIRO ( FLN ) Nº 25,Disponivel
26,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº 26,Disponivel
27,CAIXA FERRAMENTAS AUX LATOEIRO ( FLN ) Nº 27,Disponivel
28,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº 28v,Disponivel
29,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 29,Disponivel
30,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 30,Disponivel
31,CAIXA FERRAMENTAS LAVAÇÃO ( FLN ) Nº 31,Disponivel
32,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº 32,Disponivel
33,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 33,Disponivel
34,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº 34,Disponivel
35,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 35,Disponivel
36,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 36,Disponivel
37,CAIXA FERRAMENTAS AUX. LATOEIRO ( FLN ) Nº 37,Disponivel
38,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº38,Disponivel
39,CAIXA FERRAMENTAS LATOEIRO ( FLN ) Nº 39,Disponivel
40,CAIXA FERRAMENTAS VISTORIA RECEPTIVA ( FLN ) Nº40,Disponivel
41,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº 41,Disponivel
42,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº42,Disponivel
43,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº43,Disponivel
44,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº 44,Disponivel
45,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº45,Disponivel
46,CAIXA FERRAMENTAS LATOEIRO/PINTOR ( FLN ) Nº 46,Disponivel
47,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº47,Disponivel
48,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº48,Disponivel
49,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº49,Disponivel
50,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 50,Disponivel
51,CAIXA FERRAMENTAS PINTOR ( FLN ) Nº51,Disponivel
52,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº52,Disponivel
53,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº53,Disponivel
54,CAIXA FERRAMENTAS ELETRICISTA ( FLN ) Nº54,Disponivel
55,CAIXA FERRAMENTAS MECANICO ( FLN ) Nº 55,Disponivel
56,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
57,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
58,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
59,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
60,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
61,CAIXA FERRAMENTAS ( FLN ) Nº 31,Disponivel
62,COMPLEMENTO CAIXA ( FLN ) Nº 31,Disponivel
63,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
64,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
65,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
66,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
67,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
68,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
69,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
70,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
71,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
72,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
73,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
74,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
75,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
76,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
77,CAIXA FERRAMENTAS ( FLN ) Nºv,Disponivel
78,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
79,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
80,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
81,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
82,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
83,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
84,CAIXA FERRAMENTAS ( FLN ) Nº,Disponivel
99,CX APOIO RODOVIARIA DE POA,Disponivel
100,CX APOIO ALMOXARIFADO,Disponivel
101,CAIXA APOIO LATOARIA,Disponivel
